Brilcalc documentation:  http://cms-service-lumi.web.cern.ch/cms-service-lumi/brilwsdoc.html

Usage:       $HOME/.local/bin/brilcalc lumi -i Cert_256630-258714_13TeV_PromptReco_Collisions15_25ns_JSON.txt

+-------------+-------------------+------+------+----------------+---------------+
|   run:fill  |        time       | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 258434:4467 | 10/06/15 23:11:38 | 453  | 453  |  31287818.161  |  30536532.257 |
| 258444:4467 | 10/07/15 09:00:44 | 130  | 130  |  7414993.656   |  7259602.888  |
| 258655:4476 | 10/09/15 11:20:04 |  9   |  9   |   743854.899   |   383657.008  |
| 258656:4476 | 10/09/15 11:24:46 | 334  | 334  |  26418409.568  |  25581807.784 |
| 258705:4479 | 10/10/15 13:01:33 | 100  | 100  |  7822162.533   |  7604722.739  |
| 258714:4479 | 10/10/15 23:06:33 |  67  |  67  |  4269542.871   |  4168913.607  |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun |  nls  |  ncms | totdelivered(/ub) | totrecorded(/ub) |
+-------+------+-------+-------+-------------------+------------------+
|   26  |  52  | 14923 | 14923 |   866497944.896   |  837874292.974   |
+-------+------+-------+-------+-------------------+------------------+
